Function,Rao-2 Mean,Rao-2 Std,ZO-QRAO Mean,ZO-QRAO Std,W/T/L,p-value
F1,1.2668e+04,2.5234e+03,1.5955e-09,1.7304e-09,Win,0.0000
F2,1.4300e+02,3.2402e+01,5.7342e+01,2.9337e+01,Win,0.0000
F3,3.7892e-02,9.5895e-03,1.0611e-13,2.8358e-14,Win,0.0000
F4,2.8151e+02,2.2083e+01,1.7851e+02,4.7851e+01,Win,0.0000
F5,7.0285e+00,2.0769e+00,5.2179e+00,3.1154e+00,Win,0.0106
F6,8.6505e+07,4.7888e+07,8.4850e+04,2.1080e+04,Win,0.0000
F7,4.4918e+02,2.2822e+02,1.1397e+02,1.9139e+02,Win,0.0000
F8,4.1731e+04,7.2490e+04,1.7443e+03,1.1760e+03,Win,0.0000
F9,3.7173e+02,3.7308e+01,3.4153e+02,4.1115e+00,Win,0.0000
F10,5.6790e+02,6.0514e+02,2.1726e+02,7.1422e+02,Win,0.0473
F11,4.3028e+02,4.8595e+02,1.0762e+02,3.5904e+02,Win,0.0001
F12,2.5502e+02,1.1021e+01,2.9023e+02,4.8131e+01,Loss,0.0010

SUMMARY STATISTICS
ZO-QRAO vs Rao-2 (Wins/Ties/Losses),11 / 0 / 1
Total Functions Evaluated,12

AVERAGE FRIEDMAN RANKING (Lower is Better)
1. ZO-QRAO,1.08
2. Rao-2,1.92
