" INITIATING FINAL VALIDATION: ZO-QRAO vs CLASSICAL RAO"
" Hardware: 8 CPU Cores | Suite: CEC 2014 (F1-F23)"
" Parameters: 300000 FEs | 30 Runs | 30 Dimensions"
"====================================================================================================="
"Func  | Classical Rao (Mean ± Std)     | ZO-QRAO (Mean ± Std)           | W/T/L | p-value"
"-----------------------------------------------------------------------------------------------------"
"F1   | 2.12e+07 ± 1.60e+07            | 9.98e+05 ± 6.29e+05            | Win   | 0.0000"
"F2   | 2.54e+03 ± 2.74e+03            | 1.28e+04 ± 1.14e+04            | Loss  | 0.0000"
"F3   | 2.22e+04 ± 5.65e+03            | 2.13e+02 ± 1.68e+02            | Win   | 0.0000"
"F4   | 8.86e+01 ± 5.57e+01            | 2.11e+01 ± 3.45e+01            | Win   | 0.0000"
"F5   | 2.09e+01 ± 8.25e-02            | 2.09e+01 ± 9.14e-02            | Tie   | 0.8236"
"F6   | 2.48e+01 ± 1.01e+01            | 2.41e+01 ± 3.86e+00            | Tie   | 0.7303"
"F7   | 3.46e-01 ± 1.73e+00            | 1.27e-02 ± 1.49e-02            | Tie   | 0.1599"
"F8   | 1.84e+02 ± 1.88e+01            | 1.31e+02 ± 3.81e+01            | Win   | 0.0000"
"F9   | 2.21e+02 ± 2.16e+01            | 1.75e+02 ± 4.28e+01            | Win   | 0.0001"
"F10  | -4.74e+02 ± 9.36e+02            | -1.90e+03 ± 1.89e+03            | Win   | 0.0035"
"F11  | 9.45e+02 ± 8.07e+02            | -6.10e+02 ± 1.23e+03            | Win   | 0.0000"
"F12  | 2.40e+00 ± 3.15e-01            | 1.66e+00 ± 3.83e-01            | Win   | 0.0000"
"F13  | 4.60e-01 ± 9.09e-02            | 4.82e-01 ± 8.72e-02            | Tie   | 0.4898"
"F14  | 5.31e-01 ± 2.87e-01            | 3.66e-01 ± 1.72e-01            | Win   | 0.0327"
"F15  | 1.74e+01 ± 2.81e+00            | 1.71e+01 ± 4.84e+00            | Tie   | 0.3818"
"F16  | 1.28e+01 ± 2.13e-01            | 1.21e+01 ± 4.87e-01            | Win   | 0.0000"
"F17  | 1.15e+06 ± 6.19e+05            | 2.01e+05 ± 1.58e+05            | Win   | 0.0000"
"F18  | 2.36e+07 ± 1.34e+07            | 1.30e+05 ± 2.67e+04            | Win   | 0.0000"
"F19  | 1.10e+05 ± 1.19e+05            | 3.65e+02 ± 1.03e+03            | Win   | 0.0000"
"F20  | 1.33e+06 ± 2.04e+06            | 1.17e+05 ± 4.55e+04            | Win   | 0.0000"
"F21  | 1.38e+06 ± 1.53e+06            | 5.62e+04 ± 2.77e+04            | Win   | 0.0000"
"F22  | 7.23e+03 ± 3.44e+03            | 1.97e+03 ± 9.95e+02            | Win   | 0.0000"
"F23  | 2.23e+02 ± 2.49e-13            | 2.23e+02 ± 7.96e-13            | Loss  | 0.0000"
"====================================================================================================="
" FINAL BENCHMARK TALLY & STATISTICAL SCORECARD"
"====================================================================================================="
" ZO-QRAO vs Rao (Wins - Ties - Losses) : 16 - 5 - 2"
" Total Functions Evaluated             : 23"
"-----------------------------------------------------------------------------------------------------"
" AVERAGE FRIEDMAN RANKING (Lower is Better)"
" 1. ZO-QRAO       : 1.13"
" 2. Classical Rao : 1.87"
